hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif
5,5,1,4,58,2,1,HWWH
8,5,1,4,36,1,1,HOWOH
7,5,6,4,36,1,3,HOWH
7,5,6,4,31,2,3,HWOH
7,5,1,4,40,2,1,HOWOH
6,4,10,1,61,1,3,HOWH
10,5,2,4,63,2,2,H
10,5,2,4,59,1,2,HWH
7,4,10,4,60,1,2,HWH
8,2,10,1,64,1,3,HOH
8,4,4,4,33,1,4,HOWH
8,4,4,4,33,2,4,HWOH
7,3,2,1,65,1,3,HWH
7,2,2,4,25,1,3,HWOH
6,3,1,3,57,1,1,HOWH
8,4,4,4,27,2,3,HWH
8,4,4,4,26,1,3,HWOH
7,5,2,4,32,2,2,HWH
7,4,2,1,33,1,2,HWH
7,5,6,4,44,2,3,HOH
8,4,2,4,27,2,2,HWH
8,4,2,4,30,1,2,HWH
7,4,1,4,27,2,1,HWH
9,5,6,4,47,2,3,HWOH
9,5,6,4,48,1,3,HOOH
8,5,4,4,41,1,3,HOWH
8,4,4,4,36,2,3,HOWOH
7,5,6,4,49,2,3,HWOH
7,2,6,3,50,1,3,HOWH
8,5,2,4,60,2,2,HOWOH
11,5,2,4,64,1,2,HWWH
9,4,2,4,65,1,2,HWH
9,5,2,4,58,2,2,HOH
8,4,2,3,38,1,2,HWH
8,3,2,1,35,2,2,HWOH
8,5,1,4,58,2,1,HWH
11,5,2,4,56,2,2,HWH
11,5,4,4,38,1,4,HWOWH
7,1,1,1,78,1,1,HOWH
10,5,2,4,31,2,2,HWH
10,5,2,4,30,1,2,HWH
8,4,2,1,49,1,2,HOH
8,4,2,1,47,1,2,HWOH
7,2,2,3,58,1,2,HOH
8,5,2,4,65,1,2,HWOH
8,2,2,1,64,2,2,HWH
10,4,2,4,63,1,2,HOWOH
10,5,2,4,56,2,2,HWH
6,5,2,4,31,2,2,HWH
8,4,6,2,32,2,3,HWH
8,2,6,3,37,1,3,HOWH
7,2,10,4,69,1,2,HOH
11,5,4,4,33,2,3,HOWOH
11,3,4,1,34,1,3,HWH
7,3,1,4,52,1,1,HOWH
6,4,1,1,39,1,1,HWOH
7,4,1,4,26,1,1,HOH
11,5,10,4,73,2,2,HWOH
9,5,6,4,44,2,4,HOOH
9,4,6,4,49,1,4,HWH
11,4,6,4,51,1,5,HWH
11,1,6,5,16,1,5,HWH
3,5,1,4,60,2,1,HWH
8,3,6,1,53,2,4,HWH
8,2,6,4,48,1,4,HOOH
8,3,6,1,19,1,4,HWH
9,4,2,4,63,1,2,HWOH
8,2,2,3,42,1,2,HWOH
10,4,2,4,55,2,2,HWOH
10,4,2,4,57,1,2,HOWH
5,3,1,4,53,2,1,HOOH
7,5,4,4,36,2,4,HOOH
7,4,4,4,33,1,4,HOOH
8,5,6,4,42,2,4,HWOH
11,5,4,1,39,1,5,HOOH
11,5,4,4,39,2,5,HOOH
10,4,2,2,73,2,2,HWH
10,5,2,4,70,1,2,HOH
6,4,1,2,64,2,1,HWOH
5,4,2,4,29,2,2,HOH
11,5,2,4,34,2,2,HWH
9,4,4,4,43,2,4,HOWH
9,4,4,1,43,1,4,HWH
11,5,6,4,54,1,4,HOWOH
11,5,6,4,49,2,4,HOWOH
11,1,6,5,17,2,4,HWH
7,3,1,4,51,2,1,HOWOH
9,4,6,4,47,1,4,HOOH
9,3,6,2,44,2,4,HWOH
8,4,5,4,54,2,2,HWH
7,5,6,4,51,2,3,HOH
2,4,1,4,63,1,1,HOH
10,5,6,4,38,2,5,HWH
10,5,6,4,49,1,5,HWOH
10,1,6,5,16,2,5,HOWH
8,5,2,4,44,1,2,HWH
9,5,2,4,46,1,2,HOH
9,5,2,4,48,2,2,HOOH
10,4,4,4,31,1,3,HOH
10,4,4,1,32,2,3,HWH
11,4,1,1,38,2,1,HWOWH
3,3,10,4,51,2,3,HOWH
3,2,10,1,27,2,3,HOOH
8,4,8,1,57,1,3,HOOH
7,4,5,2,45,2,3,HOWH
6,2,6,3,37,1,4,HOWOH
8,4,4,3,33,1,4,HOWOH
4,4,1,1,30,1,1,HOWH
10,5,4,4,41,1,4,HWH
10,1,4,5,16,2,4,HWH
4,3,10,3,55,1,2,HWWH
7,5,6,4,44,2,4,HOH
7,4,6,3,45,1,4,HWOWH
10,3,2,4,56,2,2,HOWH
10,2,2,3,59,1,2,HWH
6,5,1,4,52,2,1,HWOH
10,5,4,4,36,2,5,HOWOH
10,4,4,4,43,1,5,HWOH
6,5,2,4,64,1,3,HOOH
6,4,2,1,25,1,3,HWH
8,5,2,4,31,2,2,HWOH
8,4,2,4,33,1,2,HWOWH
6,2,1,3,55,2,1,HWOH
11,4,2,2,61,2,4,HWOH
11,5,2,4,62,1,4,HWH
7,3,2,1,42,1,2,HWOH
7,4,2,2,40,2,2,HWOH
6,3,9,97,66,2,1,HOWOH
8,3,4,1,35,2,7,HOOH
8,3,4,3,37,1,7,HWH
8,4,2,4,23,2,2,HOWOH
8,4,2,4,23,1,2,HWH
9,5,8,4,52,1,4,HWH
9,4,8,4,24,1,4,HWH
9,1,8,5,17,1,4,HWH
4,4,1,4,42,1,1,HOWH
6,4,7,4,53,2,2,HOH
7,5,10,1,66,1,2,HWWH
7,4,2,2,29,2,2,HWH
7,4,2,4,30,1,2,HWH
2,5,1,4,48,1,1,HWH
10,4,6,4,46,2,4,HOH
10,5,6,4,48,1,4,HWH
10,1,6,5,17,2,4,HWOWH
11,5,2,4,58,1,2,HOWH
11,4,2,4,54,2,2,HOWOH
8,4,2,4,45,1,2,HWOH
8,4,2,4,30,2,2,HWOH
6,5,2,4,28,2,2,HWH
9,5,2,2,28,2,2,HOH
9,4,2,4,32,1,2,HOWH
9,4,2,4,33,1,2,HOWOH
9,5,2,4,34,2,2,HWOH
6,3,10,4,64,2,2,HWH
11,5,10,4,68,1,2,HOWOH
8,4,6,4,50,2,5,HWH
8,1,6,4,18,1,5,HOH
6,5,1,4,63,2,1,HWOH
9,5,6,1,42,1,4,HWOWH
9,4,6,4,42,2,4,HWOH
10,3,2,2,54,2,2,HOWH
10,3,2,3,54,1,2,HOWH
6,5,8,4,49,1,4,HOH
6,5,8,4,49,2,4,HWH
6,1,8,5,16,2,4,HWH
7,4,2,4,43,2,2,HOWH
7,5,6,4,57,1,4,HWH
10,4,1,4,59,1,1,HOOH
10,5,8,4,45,1,3,HOOH
10,5,8,4,45,2,3,HOH
10,1,8,5,16,2,3,HOH
7,5,2,4,30,2,2,HWOH
7,3,2,4,34,1,2,HWOH
8,5,10,4,69,2,2,HWH
2,2,1,1,48,2,1,HWH
6,2,2,4,65,1,2,HWH
3,5,1,4,54,2,1,HWOH
